course_id,course_name,description,trainer_name,start_date,end_date
4fbca905-c550-49ca-8246-7ed732c52bb0,Into Training,"Cost degree outside close the other. His argue early bit ground yard Mr wonder.
Several end real meeting against. Spend development education check me yard hand lead.",5162e65c-3381-45a2-b947-43f03c3a2c2e,2024-09-16,2024-11-03
edc60f32-7f2f-47d7-a9de-a2936a39afe7,Music Training,Hope police trouble despite serve. Watch different style capital need happen international. Cost floor compare page store wall until who.,0eec787f-d1ec-46d9-a2d1-053cd19a899b,2024-08-30,2024-11-24
16d98c0a-a4d4-40b2-a4d8-df8b5b32f74d,Raise Training,Paper guy until lot no nature. Because kind law require station. Choice window about.,0eec787f-d1ec-46d9-a2d1-053cd19a899b,2024-10-12,2024-10-17
9b51fd40-9356-40c1-b4ce-61f8c4d3027e,Single Training,Short yourself force one write computer but. Recently list reflect industry offer eat. Its quickly on discuss.,ddafca0e-18cc-410f-b502-9c3f98d86e04,2024-08-31,2024-12-12
db94c7d7-3e7b-4f86-98ca-a72b4566b71e,Sit Training,"According few civil agreement week however laugh. Performance economy dark sell add quickly west. Cold subject inside arm entire.
Agent hold blue one. Draw use nothing fear trade tough its.",e66e4925-1b92-4351-bcc5-a98c9faa1a2b,2024-05-30,2024-11-04
c9ed06bd-11eb-4b88-a1a0-def54a93df3e,No Training,"Bit economy PM stay front note role. Democratic detail we research. Walk half floor by.
Data this south weight. Pattern how perform process there. Tend surface stuff east very.",738ea993-4aaa-4691-a117-61c0dea53b10,2024-03-12,2024-10-17
9c55a975-a9a7-47a7-824c-9e0373eb73b3,Strategy Training,Energy type any health rock prove management. Reflect piece after western. As list bag much my computer.,0d2422f3-5c26-4f62-b569-037238a00897,2024-02-24,2024-10-17
44f142ef-0200-4e9d-af67-611ed735306b,Beautiful Training,Clear treatment sit. Several place catch long industry hot travel at.,4a34b151-979e-4bbe-9540-bc383d3714c7,2024-02-18,2024-11-13
081de606-165c-47cf-9792-151566e6e707,Country Training,"Turn door pass market tax affect. Five decide happy recent poor item.
Receive town now example. Story actually way system yet.
Into move certainly pick sometimes police.",ae0c4fc6-299b-43e2-9197-ba56d2debea4,2024-09-20,2024-11-10
b14379f7-6e00-4ff8-981e-28b41dc319f4,Have Training,"Own just purpose road. Explain power Mr time.
Spring bad card may sense foreign. Determine entire business study above close.
Body west plan for order. Beat seek catch food their.",25f678cc-d7a0-4f68-9108-b62e670fc452,2024-08-19,2024-11-15
