course_id,course_name,description,trainer_name,start_date,end_date,employees_assigned,createdAt,updatedAt
4fbca905-c550-49ca-8246-7ed732c52bb0,Into Training,"Cost degree outside close the other. His argue early bit ground yard Mr wonder.
Several end real meeting against. Spend development education check me yard hand lead.",5162e65c-3381-45a2-b947-43f03c3a2c2e,2024-09-16,2024-11-03,"['1f847e28-b758-490b-97ce-f623fb1cc6ab', 'ecf0a619-c91c-4de0-ad02-f6ac7a9de28f', 'd18754b4-499f-472c-bddd-267dafa68258', 'e876a634-6210-4795-86a2-19e03f354dc9', '90a02ffe-a561-44ae-bcf0-4a905b167338']",2024-10-14 15:53:36.505318,2024-10-14 15:53:36.505318
edc60f32-7f2f-47d7-a9de-a2936a39afe7,Music Training,Hope police trouble despite serve. Watch different style capital need happen international. Cost floor compare page store wall until who.,0eec787f-d1ec-46d9-a2d1-053cd19a899b,2024-08-30,2024-11-24,"['feaf10a3-8454-41b8-b1a0-ac9b79cf3278', 'adc22739-ad8d-4c26-be48-da4794b80cd6']",2024-10-14 15:53:36.505318,2024-10-14 15:53:36.505318
16d98c0a-a4d4-40b2-a4d8-df8b5b32f74d,Raise Training,Paper guy until lot no nature. Because kind law require station. Choice window about.,0eec787f-d1ec-46d9-a2d1-053cd19a899b,2024-10-12,2024-10-17,"['9d15d633-6ed7-41cd-b307-8af4b3105ca1', 'e2227a45-a93d-4b31-806c-7e2d439626cb']",2024-10-14 15:53:36.505318,2024-10-14 15:53:36.505318
9b51fd40-9356-40c1-b4ce-61f8c4d3027e,Single Training,Short yourself force one write computer but. Recently list reflect industry offer eat. Its quickly on discuss.,ddafca0e-18cc-410f-b502-9c3f98d86e04,2024-08-31,2024-12-12,"['20a6b614-32fb-41f0-a6cf-421e2f61e6a5', 'b9de2ebc-cfaf-49d4-9cb9-95e627c34e17', '31863acc-6521-461b-be4a-955de2884847', '8f8e3d2d-dbdc-4bae-ab8c-0415d4baf57a']",2024-10-14 15:53:36.505318,2024-10-14 15:53:36.505318
db94c7d7-3e7b-4f86-98ca-a72b4566b71e,Sit Training,"According few civil agreement week however laugh. Performance economy dark sell add quickly west. Cold subject inside arm entire.
Agent hold blue one. Draw use nothing fear trade tough its.",e66e4925-1b92-4351-bcc5-a98c9faa1a2b,2024-05-30,2024-11-04,"['55eaa679-c847-413e-a086-702aa90729ad', '7f5ea17c-49af-4b2a-a634-80a66a44ab45', 'f62b2b27-fbd3-4d96-a14f-d0e413d9bf4a']",2024-10-14 15:53:36.505318,2024-10-14 15:53:36.505318
c9ed06bd-11eb-4b88-a1a0-def54a93df3e,No Training,"Bit economy PM stay front note role. Democratic detail we research. Walk half floor by.
Data this south weight. Pattern how perform process there. Tend surface stuff east very.",738ea993-4aaa-4691-a117-61c0dea53b10,2024-03-12,2024-10-17,"['09403b0d-08ae-4f3f-8d6b-0c7584763c8a', '338576bf-a456-4748-b6bd-07fbd5f5f68d', '0c1d53b2-c9ba-43b1-9b6a-30546453e3bd', 'f3a805b8-226f-4fc4-af90-3288155626d6']",2024-10-14 15:53:36.506315,2024-10-14 15:53:36.506315
9c55a975-a9a7-47a7-824c-9e0373eb73b3,Strategy Training,Energy type any health rock prove management. Reflect piece after western. As list bag much my computer.,0d2422f3-5c26-4f62-b569-037238a00897,2024-02-24,2024-10-17,"['b47c60e9-43c3-465d-9814-b7549d9dafb4', 'a83c6d0f-99f1-40e8-8010-17ee096bbf40', '2240ffcc-ddd8-4c65-b578-aff401bd2add', 'ebf3debe-308d-484d-8b2e-bf8ceed1d323']",2024-10-14 15:53:36.506315,2024-10-14 15:53:36.506315
44f142ef-0200-4e9d-af67-611ed735306b,Beautiful Training,Clear treatment sit. Several place catch long industry hot travel at.,4a34b151-979e-4bbe-9540-bc383d3714c7,2024-02-18,2024-11-13,['27fcb83b-81ac-4675-8842-4e285cb03fb2'],2024-10-14 15:53:36.506315,2024-10-14 15:53:36.506315
081de606-165c-47cf-9792-151566e6e707,Country Training,"Turn door pass market tax affect. Five decide happy recent poor item.
Receive town now example. Story actually way system yet.
Into move certainly pick sometimes police.",ae0c4fc6-299b-43e2-9197-ba56d2debea4,2024-09-20,2024-11-10,['a090c359-5b4a-44c4-91d3-9f88bdfb343f'],2024-10-14 15:53:36.506315,2024-10-14 15:53:36.506315
b14379f7-6e00-4ff8-981e-28b41dc319f4,Have Training,"Own just purpose road. Explain power Mr time.
Spring bad card may sense foreign. Determine entire business study above close.
Body west plan for order. Beat seek catch food their.",25f678cc-d7a0-4f68-9108-b62e670fc452,2024-08-19,2024-11-15,"['c7fb6510-feb1-4f9a-9713-89eb235fb11c', '51f7d5cf-6df2-4c77-a810-130e1ca642a6', '9f6c9b19-de95-4742-9d64-2fe672d08dd3', '3c1d706a-c772-417b-a99f-055e762f9d64', 'a10699fb-5857-4e17-92d0-13a2f124e7c7']",2024-10-14 15:53:36.507312,2024-10-14 15:53:36.507312
6374db9a-7c03-4453-a6e9-3640519861bc,Manager Training,"Region career avoid evening short behind point. Professor smile class voice nor why fish.
Front though certainly event. Own democratic show key hundred. Member marriage usually.",96c13cf9-fc89-4d7d-acc8-0c6c7c44ef80,2024-01-23,2024-11-21,"['8a5de037-b0d4-40f7-8488-61723c55af0c', '86e5ad2d-0f89-4c34-af94-a68b596ee4e2', '2f90ba85-3219-4d3c-bba1-56d0597cf9cb']",2024-10-14 15:53:36.507312,2024-10-14 15:53:36.507312
